inputfile,time,round_trip_time,packet_loss,voltage,rio_cpu,robot_disabled,robot_auto,robot_tele,ds_disabled,ds_auto,ds_tele,watchdog,brownout,can_usage,wifi_db,bandwidth,pdp_id,pdp_0,pdp_1,pdp_2,pdp_3,pdp_4,pdp_5,pdp_6,pdp_7,pdp_8,pdp_9,pdp_10,pdp_11,pdp_12,pdp_13,pdp_14,pdp_15,pdp_total_current
../2019_03_14 19_05_41 Thu.dslog,0.0,5.0,1.04,12.35546875,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 19_05_41 Thu.dslog,20.0,5.0,1.04,12.36328125,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 19_05_41 Thu.dslog,40.0,5.0,1.04,12.36328125,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 19_05_41 Thu.dslog,60.0,5.0,1.04,12.36328125,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 19_05_41 Thu.dslog,80.0,5.0,1.04,12.36328125,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 19_05_41 Thu.dslog,100.0,5.0,1.04,12.35546875,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 19_05_41 Thu.dslog,120.0,5.0,1.04,12.34375,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 19_05_41 Thu.dslog,140.0,5.0,1.04,12.36328125,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 19_05_41 Thu.dslog,160.0,5.0,1.04,12.3515625,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 19_05_41 Thu.dslog,180.0,5.0,1.04,12.35546875,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 19_05_41 Thu.dslog,200.0,5.0,1.04,12.36328125,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 19_05_41 Thu.dslog,220.0,5.0,1.04,12.3515625,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 19_05_41 Thu.dslog,240.0,5.0,1.04,12.36328125,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 19_05_41 Thu.dslog,260.0,5.0,1.04,12.36328125,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 19_05_41 Thu.dslog,280.0,5.0,1.04,12.3515625,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
../2019_03_14 19_05_41 Thu.dslog,300.0,5.0,1.04,12.36328125,0.935,True,False,False,True,False,False,False,False,0.14,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
